Date,Predicted,Change,Change %
2025-06-27,11.751225,0.16122532,1.391077
2025-06-28,11.7780695,0.18806934,1.6226888
2025-06-29,11.779371,0.18937111,1.6339183
2025-06-30,11.823263,0.23326302,2.0126224
2025-07-01,11.801721,0.21172047,1.8267512
