set_type,true,pred,residual
train,12.25,12.250062,-6.198883056640625e-05
train,12.82,12.81863,0.0013697814941409092
train,12.67,12.669845,0.0001553726196288352
train,12.69,12.690064,-6.443023681690363e-05
train,12.67,12.669711,0.0002888870239257102
train,12.8,12.799613,0.0003870010375983668
train,12.57,12.570548,-0.0005480575561520595
train,12.34,12.340107,-0.00010696411132826711
train,12.14,12.139794,0.00020565032959041218
train,12.04,12.0402155,-0.0002154922485360089
train,11.91,11.910871,-0.0008705520629881391
train,11.93,11.928899,0.0011011886596676845
train,11.73,11.729904,9.582519531292633e-05
train,11.56,11.560357,-0.00035709381103465887
train,11.42,11.419963,3.7117004394460196e-05
train,11.4,11.4000025,-2.4795532223009786e-06
train,11.35,11.350553,-0.0005525588989261365
train,11.39,11.388539,0.0014606857299810372
train,11.18,11.180396,-0.00039608001709012797
train,11.2,11.20033,-0.0003297805786139918
train,11.23,11.229544,0.0004563140869144888
train,11.17,11.170235,-0.00023468017578132105
train,11.22,11.219857,0.00014278411865298324
train,11.53,11.530024,-2.357482910220199e-05
train,11.36,11.360169,-0.00016941070556697468
train,11.31,11.309766,0.00023418426513721613
train,11.26,11.260532,-0.0005323791503908382
train,11.16,11.160193,-0.00019344329833970164
train,11.31,11.308679,0.0013213729858403411
train,11.37,11.370285,-0.0002850341796882816
train,11.51,11.508542,0.0014579391479490056
train,11.39,11.390286,-0.0002864456176752128
train,11.73,11.729749,0.0002512741088871451
train,11.64,11.640173,-0.00017295837402286907
train,11.54,11.540179,-0.0001792526245125714
train,11.46,11.460424,-0.00042442321777258485
train,11.43,11.429011,0.000988655090331747
train,11.41,11.410208,-0.0002077484130857954
train,11.27,11.270562,-0.0005621719360355826
train,11.22,11.219397,0.000603408813477202
train,11.22,11.220135,-0.0001347351074212355
train,11.18,11.180093,-9.281158447294047e-05
train,10.99,10.990007,-7.400512695099337e-06
train,9.89,9.891965,-0.001964912414550213
train,9.99,9.990228,-0.0002276992797849431
train,10.08,10.079491,0.0005093383789063211
train,10.25,10.250863,-0.0008630752563476562
train,10.17,10.169332,0.0006684494018553977
train,10.21,10.20988,0.0001201248168953839
train,10.05,10.050397,-0.0003969192504875707
train,10.21,10.20926,0.0007400131225594464
train,10.09,10.089837,0.00016292572021470164
train,10.01,10.010501,-0.0005009078979494319
train,9.97,9.9708,-0.000800399780272798
train,10.02,10.020004,-4.272460937926326e-06
train,10.06,10.059768,0.00023227691650440363
train,10.19,10.189594,0.0004057312011713776
train,10.31,10.309892,0.00010829925537159113
train,10.57,10.569645,0.0003550720214846592
train,10.44,10.440087,-8.731842041065363e-05
train,10.29,10.290764,-0.0007638549804696027
train,10.73,10.73001,-1.0032653808167424e-05
train,10.68,10.679942,5.786895751924703e-05
train,10.5,10.499947,5.340576171875e-05
train,10.42,10.420218,-0.0002184677124024148
train,10.53,10.529534,0.00046566009521420426
train,10.58,10.580366,-0.00036613464355461645
train,11.02,11.019667,0.0003333282470698862
train,10.73,10.730484,-0.0004840087890620737
train,10.55,10.54961,0.00038986206054758554
train,10.56,10.559729,0.0002713775634770599
train,10.41,10.410447,-0.00044712066650376414
train,10.37,10.370277,-0.0002774047851570316
train,10.22,10.219684,0.00031635284423892074
train,10.1,10.101268,-0.001267814636230824
train,10.2,10.199232,0.000767898559569602
train,10.13,10.13042,-0.00041973114013593715
train,10.13,10.1300955,-9.548187255781215e-05
test,10.16,10.13099,0.029009971618652486
test,10.1,10.046266,0.05373439788818324
test,10.08,10.06428,0.01572044372558601
test,10.07,10.110907,-0.04090660095214815
test,10.05,10.086628,-0.036627960205077414
test,10.08,10.115087,-0.03508655548095696
test,10.13,10.125789,0.004211311340332813
test,10.11,10.110903,-0.0009027862548833809
test,10.12,10.170145,-0.050145034790039844
test,10.07,10.111339,-0.041338615417480185
test,10.75,10.810261,-0.060260772705078125
test,10.81,10.814479,-0.004478874206542471
test,11.15,11.017752,0.13224830627441442
test,10.99,11.276025,-0.28602481842040994
test,10.95,10.824379,0.12562103271484304
test,11.04,11.013448,0.026552238464354616
test,11.38,11.615657,-0.2356568527221672
test,10.5,10.8078165,-0.3078165054321289
test,10.4,10.48319,-0.08318958282470668
test,10.35,10.473361,-0.12336101531982457
