ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002466.SZ,20250627,31.75,33.16,31.75,32.27,31.44,0.83,2.6399,533878.1,1739429.732
002466.SZ,20250626,31.5,32.71,31.43,31.44,31.52,-0.08,-0.2538,385353.0,1230187.746
002466.SZ,20250625,31.15,31.64,31.01,31.52,31.22,0.3,0.9609,309231.58,970173.781
002466.SZ,20250624,30.23,31.42,30.05,31.22,30.24,0.98,3.2407,400053.36,1234890.181
002466.SZ,20250623,29.21,30.36,29.21,30.24,29.33,0.91,3.1026,252731.56,758381.157
002466.SZ,20250620,29.65,30.45,29.32,29.33,29.78,-0.45,-1.5111,179680.31,535973.223
002466.SZ,20250619,29.79,30.57,29.5,29.78,29.9,-0.12,-0.4013,226384.74,679209.52
002466.SZ,20250618,30.21,30.28,29.7,29.9,30.15,-0.25,-0.8292,121132.12,362178.822
002466.SZ,20250617,30.12,30.6,30.04,30.15,30.03,0.12,0.3996,154411.56,468019.176
002466.SZ,20250616,30.0,30.14,29.81,30.03,30.2,-0.17,-0.5629,127568.28,382212.891
002466.SZ,20250613,30.96,30.96,30.1,30.2,30.62,-0.42,-1.3717,175839.45,534347.37
002466.SZ,20250612,30.61,30.81,30.47,30.62,30.75,-0.13,-0.4228,134886.25,412836.651
002466.SZ,20250611,30.11,31.02,30.11,30.75,30.15,0.6,1.99,240119.71,738734.027
002466.SZ,20250610,30.38,30.97,29.9,30.15,30.37,-0.22,-0.7244,164439.08,499032.719
002466.SZ,20250609,30.33,30.59,30.17,30.37,30.34,0.03,0.0989,140104.01,425838.747
002466.SZ,20250606,30.37,30.69,30.16,30.34,30.26,0.08,0.2644,148853.08,452972.286
002466.SZ,20250605,30.37,30.54,30.1,30.26,30.37,-0.11,-0.3622,167899.49,508313.032
002466.SZ,20250604,29.35,30.57,29.32,30.37,29.32,1.05,3.5812,356258.56,1076004.965
002466.SZ,20250603,28.8,29.68,28.7,29.32,28.94,0.38,1.3131,132827.84,387990.959
002466.SZ,20250530,29.18,29.3,28.91,28.94,29.3,-0.36,-1.2287,104539.37,303555.154
002466.SZ,20250529,28.84,29.3,28.57,29.3,28.87,0.43,1.4894,174614.76,508235.375
002466.SZ,20250528,29.67,29.77,28.79,28.87,29.88,-1.01,-3.3802,231159.83,671655.402
002466.SZ,20250527,29.57,30.33,29.43,29.88,29.59,0.29,0.9801,181123.53,540942.417
002466.SZ,20250526,30.02,30.03,29.29,29.59,30.17,-0.58,-1.9224,210504.33,623134.728
002466.SZ,20250523,29.59,31.2,29.54,30.17,29.6,0.57,1.9257,419645.24,1281623.962
002466.SZ,20250522,29.5,30.11,29.37,29.6,29.53,0.07,0.237,233161.17,693987.406
002466.SZ,20250521,29.23,29.92,29.15,29.53,29.29,0.24,0.8194,205532.0,609848.699
002466.SZ,20250520,29.3,29.45,29.0,29.29,29.29,0.0,0.0,97596.59,284997.133
002466.SZ,20250519,29.0,29.34,28.84,29.29,29.15,0.14,0.4803,101274.22,294423.628
002466.SZ,20250516,29.2,29.59,29.15,29.15,29.39,-0.24,-0.8166,110883.08,325322.502
002466.SZ,20250515,30.03,30.08,29.33,29.39,30.23,-0.84,-2.7787,172983.91,513277.539
002466.SZ,20250514,29.71,30.35,29.62,30.23,29.81,0.42,1.4089,256259.92,770623.726
002466.SZ,20250513,29.76,30.2,29.6,29.81,29.73,0.08,0.2691,206662.25,616722.834
002466.SZ,20250512,29.31,29.75,29.16,29.73,29.15,0.58,1.9897,183554.37,540726.484
002466.SZ,20250509,29.34,29.4,29.05,29.15,29.4,-0.25,-0.8503,111676.78,325907.85
002466.SZ,20250508,28.85,29.6,28.77,29.4,28.98,0.42,1.4493,185435.94,542214.907
002466.SZ,20250507,29.45,29.5,28.82,28.98,29.13,-0.15,-0.5149,156262.57,454071.567
002466.SZ,20250506,28.78,29.25,28.78,29.13,28.81,0.32,1.1107,168518.52,489192.939
002466.SZ,20250430,28.6,29.25,28.56,28.81,28.6,0.21,0.7343,177464.25,513759.014
002466.SZ,20250429,28.0,28.65,27.98,28.6,28.12,0.48,1.707,140632.28,400065.95
002466.SZ,20250428,28.5,28.6,28.08,28.12,28.79,-0.67,-2.3272,147095.46,415668.993
002466.SZ,20250425,28.69,29.16,28.5,28.79,28.76,0.03,0.1043,215321.77,619950.008
002466.SZ,20250424,28.8,29.77,28.58,28.76,27.59,1.17,4.2407,457804.45,1333576.619
002466.SZ,20250423,27.64,27.83,27.36,27.59,27.48,0.11,0.4003,95921.9,264375.692
002466.SZ,20250422,27.64,27.85,27.38,27.48,27.71,-0.23,-0.83,95435.24,262869.126
002466.SZ,20250421,27.45,27.77,27.28,27.71,27.53,0.18,0.6538,82825.31,228498.188
