date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,RSI,turnover_rate,volatility,MACD,Signal,Hist,revenue,net_profit,revenue_growth,net_profit_growth
2025-01-27,600760.SH,47.2,47.2,46.35,46.56,46.93,-0.37,-0.7884,68833.82,322146.036,46.912,47.319,47.3725,50.83507306889355,0.2136727207781008,0.0,-0.6194714228126443,-0.6426390281844887,0.02316760537184437,0,0,0.0,0.0
2025-02-05,600760.SH,46.8,46.97,45.8,46.59,46.56,0.03,0.0644,116208.08,537903.806,46.830000000000005,47.15,47.196999999999996,59.2503022974607,0.21603877627145848,0.022761302765200726,-0.6240791523667113,-0.6389270530209332,0.014847900654221924,0,0,0.0,0.0
2025-02-06,600760.SH,46.55,48.48,46.12,47.95,46.59,1.36,2.9191,187985.98,889470.935,47.040000000000006,47.195,47.058499999999995,53.19444444444444,0.21134583784910296,0.02366646892336432,-0.5120871552667126,-0.6135590734700892,0.10147191820337664,0,0,0.0,0.0
2025-02-07,600760.SH,47.65,48.35,47.44,47.94,47.95,-0.01,-0.0209,169084.64,809955.949,47.194,47.273,47.0395,55.749636098981064,0.20875782221089656,0.02118980431044158,-0.41930610733631823,-0.5747084802433351,0.15540237290701686,0,0,0.0,0.0
2025-02-10,600760.SH,47.94,48.28,47.6,48.18,47.94,0.24,0.5006,135312.14,650092.136,47.444,47.293,47.1315,59.071117561683586,0.2081430192842696,0.018901727608382986,-0.3226906867944308,-0.5243049215535542,0.20161423475912343,0,0,0.0,0.0
2025-02-11,600760.SH,48.01,48.01,47.11,47.2,48.18,-0.98,-2.034,115568.23,549179.485,47.572,47.242000000000004,47.204,41.71779141104297,0.21043799551252357,0.019288889203904248,-0.3214940959220698,-0.4837427564272574,0.1622486605051876,0,0,0.0,0.0
2025-02-12,600760.SH,47.03,47.27,46.57,47.22,47.2,0.02,0.0424,120933.23,567407.346,47.69799999999999,47.264,47.245,47.569444444444436,0.21313300022026854,0.019064755131582477,-0.3152974039745402,-0.45005368593671397,0.13475628196217376,0,0,0.0,0.0
2025-02-13,600760.SH,47.22,48.02,47.06,47.22,47.22,0.0,0.0,169420.33,806201.214,47.552,47.296,47.352999999999994,50.55350553505537,0.2101464585489944,0.017725507401045486,-0.306849313087163,-0.4214128113668038,0.1145634982796408,0,0,0.0,0.0
2025-02-14,600760.SH,47.0,47.2,46.14,46.31,47.22,-0.91,-1.9271,178199.11,827328.837,47.226,47.21,47.294,34.84573502722327,0.21539090870586924,0.013629513107250716,-0.36932617278409197,-0.4109954836502615,0.04166931086616954,0,0,0.0,0.0
2025-02-17,600760.SH,46.32,46.5,45.1,45.4,46.31,-0.91,-1.965,252543.83,1151435.875,46.67,47.057,47.2065,31.21951219512195,0.21932947850873588,0.014192959653852814,-0.48665902670293804,-0.42612819226079685,-0.06053083444214119,0,0,0.0,0.0
2025-02-18,600760.SH,45.4,45.46,44.25,44.62,45.4,-0.78,-1.7181,175604.35,787985.238,46.154,46.863,47.091,30.86816720257235,0.22285233470325494,0.014596371697958051,-0.6352627267624129,-0.4679550991611201,-0.1673076276012928,0,0,0.0,0.0
2025-02-19,600760.SH,44.61,44.98,44.39,44.92,44.62,0.3,0.6723,133142.84,596619.822,45.694,46.696,46.923,34.579439252336485,0.2231619451624589,0.012844738380656823,-0.720519041888636,-0.5184678877066233,-0.2020511541820127,0,0,0.0,0.0
2025-02-20,600760.SH,44.88,45.69,44.43,45.41,44.92,0.49,1.0908,166990.28,754858.503,45.332,46.442,46.8185,36.74698795180719,0.22122063848567391,0.012869298352458721,-0.7400159378776863,-0.562777497740836,-0.1772384401368503,0,0,0.0,0.0
2025-02-21,600760.SH,45.3,46.23,45.0,45.9,45.41,0.49,1.0791,229123.19,1045068.539,45.25,46.238,46.7555,42.525399129172705,0.2192422615833812,0.013126320650138886,-0.7077697345884459,-0.5917759451103579,-0.11599378947808803,0,0,0.0,0.0
2025-02-24,600760.SH,45.86,45.98,45.13,45.36,45.9,-0.54,-1.1765,127401.47,579689.586,45.242,45.956,46.6245,41.50141643059488,0.21977532989526571,0.012551291678793505,-0.7175167863180931,-0.616924113351905,-0.10059267296618812,0,0,0.0,0.0
2025-02-25,600760.SH,45.08,45.28,44.25,44.7,45.36,-0.66,-1.455,206516.13,923195.967,45.257999999999996,45.706,46.474000000000004,37.7113133940182,0.22369695858950825,0.01281554216679671,-0.7696261084844167,-0.6474645123784074,-0.1221615961060093,0,0,0.0,0.0
2025-02-26,600760.SH,44.44,44.67,43.93,44.25,44.7,-0.45,-1.0067,208395.59,920350.707,45.124,45.409,46.3365,22.713864306784643,0.2264306295578257,0.012627922637771113,-0.8375792684895558,-0.6854874636006372,-0.1520918048889186,0,0,0.0,0.0
2025-02-27,600760.SH,44.3,44.39,43.51,44.05,44.25,-0.2,-0.452,183047.08,803788.735,44.852,45.092,46.194,22.094691535150645,0.22773033762410216,0.01263120713303135,-0.8972282768298783,-0.7278356262464855,-0.1693926505833928,0,0,0.0,0.0
2025-02-28,600760.SH,44.05,44.36,43.49,43.54,44.05,-0.51,-1.1578,181257.88,794987.628,44.38,44.815,46.0125,17.955801104972352,0.22800088154327855,0.012589461780481346,-0.9744207673890486,-0.7771526544749982,-0.19726811291405044,0,0,0.0,0.0
2025-03-03,600760.SH,43.58,44.07,43.33,43.58,43.54,0.04,0.0919,118466.29,517261.775,44.024,44.633,45.845,21.269841269841223,0.22902579646446905,0.012631728013253306,-1.0206038210477857,-0.8258428877895557,-0.19476093325822996,0,0,0.0,0.0
2025-03-04,600760.SH,43.8,45.1,43.6,44.88,43.58,1.3,2.983,287322.1,1279603.798,44.06,44.659000000000006,45.760999999999996,34.56464379947232,0.22453989308962646,0.014620279112879123,-0.9414526087171922,-0.848964831975083,-0.09248777674210917,0,0,0.0,0.0
2025-03-05,600760.SH,44.68,45.09,44.11,44.29,44.88,-0.59,-1.3146,163494.83,727220.5,44.068,44.596,45.646,32.06854345165242,0.2248215362465717,0.014825921215233533,-0.9157762730311987,-0.8623271201863062,-0.05344915284489249,0,0,0.0,0.0
2025-03-06,600760.SH,44.48,44.54,44.0,44.36,44.29,0.07,0.158,151544.8,671452.032,44.13,44.491,45.4665,36.69849931787176,0.22569713513057027,0.012885650980256645,-0.8796392433851281,-0.8657895448260706,-0.013849698559057488,0,0,0.0,0.0
2025-03-07,600760.SH,44.25,46.32,44.01,45.32,44.36,0.96,2.1641,391934.49,1784746.485,44.486000000000004,44.433,45.3355,49.45799457994581,0.21960233192446935,0.014077697794633682,-0.764721180347486,-0.8455758719303538,0.08085469158286773,0,0,0.0,0.0
2025-03-10,600760.SH,45.59,46.29,45.01,45.17,45.32,-0.15,-0.331,197181.54,898730.755,44.804,44.414,45.185,54.0740740740741,0.21940001374493967,0.01396004303198469,-0.6779367015533566,-0.8120480378549544,0.13411133630159777,0,0,0.0,0.0
2025-03-11,600760.SH,44.88,46.61,44.69,46.31,45.17,1.14,2.5238,307791.74,1412052.528,45.089999999999996,44.575,45.140499999999996,59.156785243741766,0.2179747097906828,0.014702800810348058,-0.5112772187197407,-0.7518938740279116,0.2406166553081709,0,0,0.0,0.0
2025-03-12,600760.SH,46.31,46.98,45.39,45.45,46.31,-0.86,-1.8571,249854.27,1149004.7,45.322,44.695,45.05200000000001,50.251256281407066,0.21745278326537743,0.015220590467557908,-0.44348101742594537,-0.6902113027075185,0.24673028528157315,0,0,0.0,0.0
