ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA5,MA10,MA20,RSI,turnover_rate,volatility,MACD,Signal,Hist,revenue,net_profit,revenue_growth,net_profit_growth
001289.SZ,1970-01-01 00:00:00.020250509,17.05,17.42,16.98,17.13,16.9,0.23,1.3609,110044.86,189062.96,17.044,16.971,16.738999999999997,70.44025157232696,0.5820540416800838,0.007677533380110764,0.21196455435875805,0.18931503379213382,0.022649520566624226,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250508,16.79,17.05,16.75,16.9,16.74,0.16,0.9558,73939.59,124888.883,17.044,16.977999999999998,16.7565,61.53846153846147,0.592043008343665,0.008332146696601659,0.19584925817051513,0.1906218786678101,0.005227379502705021,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250507,16.91,16.93,16.71,16.74,16.8,-0.06,-0.3571,66140.62,110873.722,16.979999999999997,16.954,16.7665,55.44041450777194,0.5965400890934283,0.008655853540389532,0.16822788072194328,0.18614307907863675,-0.017915198356693474,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250506,16.89,16.93,16.6,16.8,16.8,0.0,0.0,106181.64,177621.248,16.919999999999998,16.929000000000002,16.782,56.122448979591866,0.5977980742484142,0.008634883234365618,0.14945639832523128,0.17880574292795567,-0.029349344602724398,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250430,16.78,16.88,16.66,16.8,16.78,0.02,0.1192,48083.5,80627.386,16.874000000000002,16.910999999999998,16.799,55.89743589743589,0.5963668473637481,0.008613540836446939,0.1330461896289421,0.16965383226815298,-0.036607642639210874,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250429,17.11,17.15,16.58,16.78,17.35,-0.57,-3.2853,107332.63,180266.583,16.804000000000002,16.924,16.817500000000003,48.53801169590652,0.5954105759024677,0.008577138380885993,0.11707755102496975,0.15913857601951636,-0.042061024994546614,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250428,17.86,17.95,17.2,17.35,17.84,-0.49,-2.7466,105185.41,183967.931,16.894,16.969,16.860999999999997,58.685446009389665,0.5717594877989903,0.011288130953883577,0.14870237774806938,0.15705133636522697,-0.008348958617157592,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250425,17.77,17.92,17.6,17.84,17.55,0.29,1.6524,133824.63,237900.477,17.114,17.047,16.929000000000002,65.49019607843132,0.5625235883827169,0.012628035282114721,0.2108733687391222,0.16781574284000603,0.043057625899116186,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250424,17.77,17.96,17.42,17.55,17.75,-0.2,-1.1268,134640.69,237839.001,17.264000000000003,17.092000000000002,16.98,60.28880866425992,0.5661001325850675,0.01342125597450873,0.23404581616813402,0.18106175750563164,0.05298405866250239,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250423,17.76,18.48,17.7,17.75,17.27,0.48,2.7794,196726.65,352850.417,17.454,17.163999999999998,17.039499999999997,70.83333333333336,0.5575355462878764,0.013544031846525159,0.2654880947388065,0.19794702495226663,0.0675410697865399,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250422,17.75,17.76,17.2,17.27,16.83,0.44,2.6144,200500.3,348818.96,17.552,17.178,17.0745,56.445993031358896,0.574797597011355,0.015174506577370005,0.24880625493248232,0.20811887094830978,0.04068738398417254,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250421,16.45,16.83,16.39,16.83,16.38,0.45,2.7473,68049.38,113247.717,17.448,17.171,17.0745,46.34920634920635,0.6008896408922751,0.016014314205854276,0.1978013234040752,0.20605536143946285,-0.008254038035387656,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250418,16.67,16.71,16.24,16.38,16.75,-0.37,-2.209,70492.54,115464.985,17.156,17.134999999999998,17.0445,39.887640449438166,0.6105101039938644,0.016941557271676344,0.11968861268063336,0.18878201168769695,-0.0690933990070636,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250417,16.7,16.85,16.55,16.75,16.75,0.0,0.0,65099.89,109081.393,16.996,17.13,17.0295,46.37305699481863,0.5968010511196901,0.017756911012783153,0.08664089216875936,0.16835378778390944,-0.08171289561515008,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250416,17.05,17.08,16.66,16.75,16.95,-0.2,-1.1799,78058.63,131276.657,16.796,17.125,17.018,44.94680851063831,0.5946116528546275,0.01773964980250113,0.05976144285411422,0.1466353187979504,-0.08687387594383617,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250415,17.11,17.17,16.8,16.95,17.08,-0.13,-0.7611,88340.48,149620.484,16.732,17.142000000000003,17.032999999999998,50.67024128686327,0.5904303851870978,0.017363393373098324,0.05397541911353443,0.1281033388610672,-0.07412791974753277,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250414,16.75,17.24,16.75,17.08,16.74,0.34,2.0311,129030.21,219867.168,16.782,17.115,17.042,54.5945945945946,0.5868552870977081,0.017128248343929127,0.059197475509222386,0.11432216619069825,-0.055124690681475866,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250411,17.26,17.28,16.71,16.74,17.43,-0.69,-3.9587,130463.96,220179.572,16.854000000000003,17.005000000000003,17.026,49.246231155778865,0.5925343519152632,0.017587311936442133,0.03549170800716439,0.09855607455399149,-0.0630643665468271,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250410,17.1,17.46,16.78,17.43,17.22,0.21,1.2195,173439.53,298930.809,16.990000000000002,16.993000000000002,17.042499999999997,56.74518201284796,0.5801995805658158,0.019943397058491633,0.07155708437441177,0.09315627651807555,-0.02159919214366378,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250409,17.68,17.85,16.31,17.22,18.1,-0.88,-4.8619,189113.78,323174.033,17.083999999999996,16.939999999999998,17.052,54.5267489711934,0.5851762848780614,0.020131779673878337,0.08224583127896068,0.09097418747025258,-0.008728356191291906,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250408,17.61,18.33,17.1,18.1,17.78,0.32,1.7998,251571.33,447458.855,17.314,17.023,17.1005,57.253384912959376,0.5622222628715214,0.023064831586242115,0.15988236140327317,0.1047558222568567,0.055126539146416464,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250407,17.0,18.5,16.75,17.78,17.41,0.37,2.1252,296335.84,519522.702,17.454,17.118000000000002,17.1445,49.40000000000001,0.5704001747357713,0.02324323605483321,0.193359615929122,0.12247658099130976,0.07088303493781223,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250403,16.38,17.59,16.31,17.41,16.53,0.88,5.3237,195836.82,336560.102,17.588,17.221,17.177999999999997,48.62204724409449,0.581877705753726,0.023692226537381404,0.18786903624505769,0.13555507204205935,0.05231396420299833,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250402,16.93,16.93,16.38,16.53,17.1,-0.57,-3.3333,125962.25,208415.439,17.408,17.199,17.1645,39.40972222222225,0.604380609250354,0.026459351939673047,0.11122691214790947,0.13068944006322938,-0.01946252791531991,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250401,16.45,17.16,16.41,17.1,16.61,0.49,2.95,204032.16,346363.057,17.384,17.234,17.1795,48.547008547008566,0.5890702136862132,0.02759142026860602,0.0953822062353531,0.12362799329765414,-0.028245787062301048,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250331,16.01,17.18,15.9,16.61,15.7,0.91,5.7962,190838.53,318776.803,17.086,17.2,17.171,48.135593220339,0.5986587738004261,0.028390927477738057,0.042792967059014586,0.10746098804992624,-0.06466802099091165,8140110543.19,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250331,16.01,17.18,15.9,16.61,15.7,0.91,5.7962,190838.53,318776.803,17.086,17.2,17.171,48.135593220339,0.5986587738004261,0.028390927477738057,0.042792967059014586,0.10746098804992624,-0.06466802099091165,8140110543.19,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250328,15.81,15.88,15.63,15.7,15.82,-0.12,-0.7585,25361.27,39929.763,16.67,17.062,17.0885,44.65408805031447,0.6351470205320278,0.029687853349447305,-0.07148969003992889,0.07167085243195521,-0.1431605424718841,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250327,15.96,16.04,15.79,15.82,15.96,-0.14,-0.8772,26159.65,41550.758,16.351999999999997,16.97,16.9875,42.38952536824878,0.6295829789675558,0.028834848181392893,-0.15064003745317578,0.02720867445492902,-0.1778487119081048,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250326,16.08,16.11,15.78,15.96,15.97,-0.01,-0.0626,25484.77,40564.433,16.238,16.823,16.908,43.68000000000001,0.6282540668077378,0.028892731683142023,-0.199767631153545,-0.018186586666765786,-0.18158104448677923,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250325,15.84,16.03,15.71,15.97,15.8,0.17,1.0759,26052.36,41504.66,16.012,16.698,16.819,41.91419141914193,0.6276972272511087,0.02868362649110551,-0.23518363611932358,-0.061585996557277346,-0.17359763956204624,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250324,15.88,16.04,15.68,15.8,15.85,-0.05,-0.3155,31208.22,49424.58,15.85,16.468,16.7455,39.50819672131151,0.6314311623892404,0.02824780232249181,-0.27381231652135085,-0.10403126055009206,-0.1697810559712588,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250321,15.88,16.11,15.77,15.85,15.92,-0.07,-0.4397,30813.49,49162.484,15.88,16.275,16.6965,42.34079173838212,0.6267683707763831,0.027827661668145813,-0.29696797989591417,-0.1426186044192565,-0.15434937547665767,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250320,16.04,16.12,15.88,15.92,16.09,-0.17,-1.0566,24511.13,39206.392,15.9,16.125999999999998,16.6735,35.45279383429674,0.6251819856313225,0.027273368188317403,-0.3061415853330125,-0.1753232006020077,-0.1308183847310048,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250319,15.98,16.16,15.85,16.09,15.97,0.12,0.7514,26067.86,41855.7,15.925999999999998,16.082,16.6405,39.02912621359226,0.6228031068647759,0.026856475410955503,-0.29627883648363706,-0.19951432777833358,-0.09676450870530348,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250318,16.1,16.12,15.93,15.97,16.12,-0.15,-0.9305,26144.22,41790.865,15.926000000000002,15.969,16.6015,25.74031890660592,0.625596526896488,0.02688391650627515,-0.2947478641773351,-0.2185610350581339,-0.07618682911920122,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250317,16.05,16.13,15.97,16.12,16.02,0.1,0.6242,31699.19,50866.238,15.99,15.919999999999998,16.560000000000002,30.331753554502384,0.6231872307914731,0.026820162155192152,-0.2782236224652479,-0.23049355253955672,-0.047730069925691176,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250314,15.87,16.05,15.83,16.02,15.85,0.17,1.0726,28843.71,46041.595,16.024,15.952000000000002,16.506999999999998,32.40506329113924,0.6264706945969183,0.026731692032904868,-0.2700838476484826,-0.2384116115613419,-0.031672236087140676,,,0.0,0.0
001289.SZ,1970-01-01 00:00:00.020250313,15.88,15.95,15.82,15.85,15.88,-0.03,-0.1889,28089.65,44585.391,16.01,15.955000000000002,16.462500000000002,39.50617283950616,0.6300191468546278,0.02649949408921537,-0.27418990615217353,-0.24556727047950824,-0.028622635672665292,,,0.0,0.0
