set_type,true,pred,residual
train,8.32,8.319984,1.5563964844034217e-05
train,8.23,8.230104,-0.00010444641113238617
train,8.29,8.289982,1.815795898352235e-05
train,8.45,8.449741,0.00025863647460866446
train,8.47,8.46968,0.00032016754150454574
train,8.29,8.29079,-0.0007896041870125714
train,8.59,8.589285,0.0007151031494139204
train,8.59,8.59026,-0.0002595520019532671
train,8.52,8.519718,0.0002818298339839487
train,8.48,8.480506,-0.0005059432983394174
train,8.32,8.31974,0.0002597045898440342
train,8.33,8.3300905,-9.05227661132102e-05
train,8.2,8.201129,-0.0011289596557624293
train,8.2,8.199854,0.00014610290527272696
train,8.35,8.350263,-0.0002626419067386365
train,8.34,8.339487,0.0005129241943357954
train,8.63,8.630277,-0.00027667999267499965
train,8.81,8.809602,0.00039821624755909113
train,8.7,8.700295,-0.0002954483032233668
train,8.74,8.740449,-0.0004489517211911931
train,8.75,8.749967,3.337860107421875e-05
train,8.61,8.610261,-0.0002609634399419747
train,8.9,8.899158,0.0008424758911136365
train,8.8,8.8003235,-0.00032348632812428946
train,8.69,8.690864,-0.0008636093139653411
train,8.63,8.628796,0.0012043762207039066
train,8.54,8.540427,-0.0004272079467781964
train,8.5,8.500097,-9.72747802734375e-05
train,8.69,8.690187,-0.00018745422363330988
train,8.75,8.749654,0.00034618377685546875
train,8.71,8.709651,0.0003490066528328839
train,8.64,8.640027,-2.7046203612712816e-05
train,8.61,8.610089,-8.930206298884968e-05
train,8.53,8.529838,0.00016239166259701676
train,8.46,8.460091,-9.063720703039735e-05
train,8.52,8.519191,0.0008092117309566049
train,8.51,8.510211,-0.0002109909057619319
train,8.47,8.469866,0.000134201049805327
train,8.45,8.449885,0.00011463165283132071
train,8.26,8.260024,-2.4070739746306913e-05
train,8.24,8.241178,-0.001177558898925568
train,8.29,8.289049,0.0009508514404288348
train,8.39,8.390173,-0.00017295837402286907
train,7.93,7.9313345,-0.001334495544433878
train,8.5,8.499996,3.814697265625e-06
train,8.92,8.919061,0.0009392929077147727
train,8.98,8.979403,0.0005974578857426138
train,8.73,8.730098,-9.777069091754242e-05
train,8.67,8.670001,-1.0299682617898043e-06
train,8.66,8.660509,-0.0005091094970701704
train,8.83,8.830023,-2.2811889648366446e-05
train,9.2,9.199481,0.0005189895629875707
train,9.2,9.199038,0.000962448120116477
train,9.06,9.059859,0.00014072418212940363
train,9.01,9.009834,0.00016571044921853684
train,8.84,8.840876,-0.0008756256103517046
train,8.86,8.85919,0.0008100128173822441
train,8.76,8.760127,-0.0001270675659181819
train,8.31,8.310605,-0.0006050491333002839
train,8.33,8.330331,-0.0003308486938475852
train,8.37,8.369648,0.0003520202636710934
train,8.35,8.349668,0.0003324508666988635
train,8.5,8.499986,1.430511474609375e-05
train,8.44,8.440219,-0.00021892547607471613
train,8.25,8.251088,-0.0010881423950195312
train,8.3,8.3001375,-0.0001375198364250707
train,8.3,8.299907,9.326934814524179e-05
train,8.35,8.348472,0.001528358459472301
train,8.25,8.250965,-0.000965118408203125
train,8.27,8.269386,0.0006137084960933237
train,8.28,8.279464,0.0005362319946282668
train,8.26,8.260217,-0.0002167129516603694
train,8.22,8.220485,-0.00048473358154232926
train,8.17,8.169821,0.00017921447753899145
train,8.09,8.090198,-0.00019756317138686086
train,8.07,8.070514,-0.0005137252807614345
train,8.1,8.099325,0.0006748199462887072
train,8.08,8.08077,-0.0007695388793944602
test,8.11,8.081303,0.028697357177733807
test,8.13,8.081277,0.048723106384278125
test,8.11,8.07528,0.034719810485839275
test,8.17,8.088538,0.08146183013916009
test,8.19,8.091485,0.09851497650146435
test,8.16,8.091316,0.06868377685546889
test,8.16,8.098376,0.06162372589111342
test,8.12,8.095254,0.024746055603026562
test,8.16,8.095279,0.06472126007080092
test,8.14,8.104224,0.035775794982910725
test,8.06,8.093932,-0.033932151794433096
test,8.24,8.177391,0.06260894775390646
test,8.12,8.169198,-0.04919803619384844
test,8.01,8.091723,-0.08172344207763693
test,7.88,7.9316106,-0.05161058425903331
test,7.89,7.9316106,-0.04161058425903352
test,7.88,7.931555,-0.051554794311523544
test,7.97,7.9316106,0.03838941574096655
test,8.05,7.9316106,0.11838941574096751
test,8.04,8.081729,-0.04172893524170007
