ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600011.SH,20250627,7.27,7.28,7.04,7.04,7.27,-0.23,-3.1637,1076473.96,766087.558
600011.SH,20250626,7.33,7.38,7.26,7.27,7.33,-0.06,-0.8186,388846.4,284437.021
600011.SH,20250625,7.2,7.35,7.17,7.33,7.19,0.14,1.9471,618337.91,448990.76
600011.SH,20250624,7.21,7.26,7.17,7.19,7.2,-0.01,-0.1389,591372.58,426240.82
600011.SH,20250623,7.38,7.39,7.19,7.2,7.38,-0.18,-2.439,705525.55,512225.524
600011.SH,20250620,7.4,7.47,7.35,7.38,7.39,-0.01,-0.1353,467505.53,345906.607
600011.SH,20250619,7.46,7.46,7.34,7.39,7.45,-0.06,-0.8054,525808.61,388941.894
600011.SH,20250618,7.45,7.49,7.43,7.45,7.45,0.0,0.0,327175.58,244094.818
600011.SH,20250617,7.3,7.46,7.27,7.45,7.32,0.13,1.776,546588.31,404116.062
600011.SH,20250616,7.28,7.34,7.26,7.32,7.3,0.02,0.274,323492.8,236149.119
600011.SH,20250613,7.21,7.32,7.21,7.3,7.22,0.08,1.108,749409.0,546142.309
600011.SH,20250612,7.28,7.31,7.2,7.22,7.27,-0.05,-0.6878,412618.18,298848.62
600011.SH,20250611,7.3,7.34,7.26,7.27,7.3,-0.03,-0.411,545813.56,398186.0
600011.SH,20250610,7.27,7.39,7.23,7.3,7.26,0.04,0.551,549975.07,402308.093
600011.SH,20250609,7.27,7.29,7.22,7.26,7.28,-0.02,-0.2747,307703.0,223009.282
600011.SH,20250606,7.19,7.3,7.17,7.28,7.2,0.08,1.1111,443627.0,321845.962
600011.SH,20250605,7.23,7.24,7.17,7.2,7.2,0.0,0.0,272426.18,195934.286
600011.SH,20250604,7.25,7.28,7.18,7.2,7.27,-0.07,-0.9629,363325.0,261987.083
600011.SH,20250603,7.21,7.27,7.15,7.27,7.23,0.04,0.5533,464161.22,334734.824
600011.SH,20250530,7.23,7.27,7.18,7.23,7.22,0.01,0.1385,452960.24,327473.381
600011.SH,20250529,7.23,7.26,7.18,7.22,7.23,-0.01,-0.1383,431536.15,311102.08
600011.SH,20250528,7.41,7.43,7.17,7.23,7.43,-0.2,-2.6918,725882.0,526581.101
600011.SH,20250527,7.45,7.48,7.39,7.43,7.45,-0.02,-0.2685,294849.95,219281.182
600011.SH,20250526,7.37,7.47,7.36,7.45,7.39,0.06,0.8119,377965.38,280811.859
600011.SH,20250523,7.39,7.48,7.36,7.39,7.4,-0.01,-0.1351,427164.92,316841.058
600011.SH,20250522,7.48,7.49,7.38,7.4,7.49,-0.09,-1.2016,598634.24,443662.614
600011.SH,20250521,7.51,7.58,7.48,7.49,7.52,-0.03,-0.3989,568884.94,428775.939
600011.SH,20250520,7.49,7.53,7.45,7.52,7.47,0.05,0.6693,514122.01,385261.022
600011.SH,20250519,7.48,7.54,7.46,7.47,7.48,-0.01,-0.1337,370070.5,277509.881
600011.SH,20250516,7.48,7.54,7.43,7.48,7.5,-0.02,-0.2667,380219.32,284458.86
600011.SH,20250515,7.4,7.55,7.39,7.5,7.41,0.09,1.2146,624720.25,468710.589
600011.SH,20250514,7.42,7.43,7.34,7.41,7.44,-0.03,-0.4032,418508.88,308975.134
600011.SH,20250513,7.44,7.45,7.37,7.44,7.43,0.01,0.1346,393092.27,291148.251
600011.SH,20250512,7.43,7.45,7.36,7.43,7.45,-0.02,-0.2685,609524.04,451234.818
600011.SH,20250509,7.32,7.55,7.32,7.45,7.32,0.13,1.776,861813.07,642315.858
600011.SH,20250508,7.29,7.35,7.28,7.32,7.31,0.01,0.1368,380166.43,278323.977
600011.SH,20250507,7.43,7.45,7.26,7.31,7.36,-0.05,-0.6793,520711.77,380277.428
600011.SH,20250506,7.18,7.38,7.13,7.36,7.16,0.2,2.7933,766362.35,558318.027
600011.SH,20250430,7.18,7.25,7.15,7.16,7.2,-0.04,-0.5556,473002.0,339713.864
600011.SH,20250429,7.27,7.28,7.15,7.2,7.26,-0.06,-0.8264,638543.43,460192.641
600011.SH,20250428,7.22,7.3,7.13,7.26,7.18,0.08,1.1142,797930.45,578342.15
600011.SH,20250425,7.18,7.23,7.13,7.18,7.18,0.0,0.0,465458.58,334008.922
600011.SH,20250424,7.06,7.23,7.06,7.18,7.08,0.1,1.4124,640697.47,459250.44
600011.SH,20250423,7.06,7.12,7.04,7.08,7.06,0.02,0.2833,391286.0,277165.414
600011.SH,20250422,7.17,7.25,7.05,7.06,7.17,-0.11,-1.5342,655576.76,468339.23
600011.SH,20250421,7.12,7.19,7.1,7.17,7.11,0.06,0.8439,326355.91,233320.805
600011.SH,20250418,7.18,7.18,7.09,7.11,7.19,-0.08,-1.1127,366882.0,261222.386
600011.SH,20250417,7.1,7.19,7.07,7.19,7.11,0.08,1.1252,653993.04,467591.742
600011.SH,20250416,7.03,7.11,6.97,7.11,7.02,0.09,1.2821,781104.81,550439.393
600011.SH,20250415,6.96,7.02,6.92,7.02,6.94,0.08,1.1527,609163.71,424593.503
600011.SH,20250414,6.9,6.96,6.87,6.94,6.9,0.04,0.5797,469353.75,324987.713
600011.SH,20250411,7.0,7.01,6.84,6.9,7.0,-0.1,-1.4286,588446.34,406126.494
600011.SH,20250410,7.04,7.07,6.95,7.0,7.08,-0.08,-1.1299,647814.35,453897.69
600011.SH,20250409,6.97,7.12,6.8,7.08,7.0,0.08,1.1429,1218272.57,850759.418
600011.SH,20250408,6.79,7.0,6.78,7.0,6.79,0.21,3.0928,879514.8,608293.928
