set_type,true,pred,residual
train,16.95,16.950216,-0.00021629333496164804
train,17.16,17.15997,3.067016601576711e-05
train,17.45,17.449707,0.00029296874999928946
train,17.78,17.780375,-0.00037452697753792563
train,17.82,17.81922,0.0007804107666018467
train,17.67,17.670675,-0.0006752777099592322
train,17.87,17.868973,0.0010272216796884948
train,17.83,17.830156,-0.0001563262939470178
train,17.77,17.770271,-0.0002713012695316763
train,17.83,17.830137,-0.0001372528076188928
train,17.31,17.310453,-0.0004534149169934665
train,17.54,17.539288,0.0007124328613272723
train,17.55,17.550138,-0.00013847351074147696
train,17.8,17.800303,-0.00030250549316335196
train,17.73,17.730299,-0.0002989959716792612
train,17.48,17.48014,-0.00014068603515582367
train,17.93,17.929348,0.0006520080566403408
train,18.22,18.218653,0.0013472747802723006
train,17.57,17.570019,-1.8768310546590783e-05
train,17.44,17.440153,-0.00015312194824090852
train,17.44,17.439978,2.2354125977841477e-05
train,17.4,17.400581,-0.0005813598632826711
train,17.75,17.74963,0.000370025634765625
train,17.42,17.419676,0.0003241729736345178
train,17.41,17.410332,-0.0003317260742186079
train,17.47,17.46912,0.0008799743652332381
train,17.56,17.561136,-0.0011362457275403415
train,17.47,17.468956,0.0010440063476551131
train,17.88,17.87969,0.00030982971191306774
train,17.79,17.789568,0.00043205261230383485
train,17.78,17.780167,-0.00016662597656136313
train,17.73,17.729712,0.0002884674072269888
train,17.61,17.610199,-0.00019897460937556843
train,17.31,17.310492,-0.0004915618896497165
train,17.24,17.240017,-1.6937255860938194e-05
train,17.13,17.131088,-0.0010882568359384948
train,17.19,17.189146,0.0008539581298840915
train,17.32,17.319437,0.0005629730224612217
train,17.25,17.249992,7.62939453125e-06
train,17.05,17.050518,-0.0005180358886711645
train,17.15,17.150028,-2.8228759767046085e-05
train,17.13,17.130047,-4.684448242286976e-05
train,17.11,17.109964,3.5629272460369066e-05
train,15.52,15.521302,-0.0013022232055668326
train,15.85,15.850195,-0.00019493103027379277
train,16.24,16.239765,0.0002348327636703118
train,16.48,16.479506,0.0004944610595707388
train,16.42,16.420202,-0.0002022552490217322
train,16.45,16.450327,-0.00032691955566477304
train,16.34,16.340233,-0.0002328491210938921
train,16.35,16.349062,0.0009380340576186086
train,16.3,16.301096,-0.001095962524413352
train,16.3,16.299673,0.00032691955566477304
train,16.34,16.338879,0.0011213684082029829
train,16.3,16.30006,-6.027221679616446e-05
train,16.25,16.250162,-0.0001621246337890625
train,16.16,16.16013,-0.0001295471191404829
train,16.25,16.250391,-0.0003910064697265625
train,16.06,16.060131,-0.00013107299804815398
train,16.05,16.050793,-0.0007926940917961645
train,16.1,16.10008,-8.049011230326641e-05
train,16.38,16.379501,0.0004986572265615052
train,16.4,16.400915,-0.0009151458740248586
train,16.49,16.488625,0.0013754272460921868
train,16.27,16.270647,-0.0006470489501957388
train,16.59,16.59016,-0.0001603698730470171
train,16.46,16.460047,-4.676818847570985e-05
train,16.9,16.899876,0.00012435913085795391
train,16.68,16.680014,-1.3656616211221717e-05
train,16.62,16.619638,0.00036155700683693226
train,16.53,16.530912,-0.0009123992919910506
train,16.55,16.54955,0.00045089721679758554
train,16.48,16.480537,-0.0005374145507808237
train,16.36,16.359377,0.0006230926513666191
train,16.13,16.131193,-0.0011931610107431823
train,16.16,16.159664,0.0003358459472657671
train,16.2,16.199608,0.00039215087890553946
train,16.1,16.100311,-0.0003112792968735789
test,16.27,16.135475,0.13452484130859332
test,16.27,16.242538,0.027461547851562074
test,16.8,16.66095,0.1390502929687507
test,17.88,16.88302,0.9969795989990224
test,18.17,17.518303,0.651697082519533
test,17.42,17.513742,-0.09374244689941236
test,17.86,17.503935,0.35606513977050724
test,17.5,17.230526,0.2694740295410156
test,17.9,17.515806,0.3841938018798814
test,17.82,17.51542,0.3045790863037112
test,17.6,17.429712,0.17028770446777486
test,17.94,17.528444,0.41155570983886847
test,17.93,17.67928,0.2507206726074216
test,17.59,17.45136,0.13863929748535142
test,17.18,17.257717,-0.07771713256835966
test,17.01,17.142725,-0.132724990844725
test,17.49,16.746038,0.74396156311035
test,17.8,17.560814,0.23918609619140696
test,18.32,17.586647,0.733352966308594
test,18.25,17.493029,0.7569713592529297
