set_type,true,pred,residual
train,15.89,15.889887,0.00011314392089900593
train,15.53,15.530295,-0.00029537200927798324
train,15.7,15.69961,0.00039024353027272696
train,15.63,15.629653,0.00034702301025468785
train,15.52,15.520542,-0.0005421447753910513
train,15.61,15.609546,0.0004542922973627128
train,15.63,15.6303,-0.00029956817626874965
train,15.53,15.530573,-0.000572891235352202
train,15.55,15.549519,0.00048141479492258554
train,15.59,15.589374,0.0006264114379881391
train,15.61,15.609838,0.00016246795654240032
train,15.54,15.540242,-0.0002421951293953839
train,15.75,15.749824,0.00017642974853515625
train,15.46,15.462228,-0.0022278213500968036
train,15.13,15.129934,6.56890869148441e-05
train,14.88,14.880196,-0.0001956176757804684
train,15.18,15.179269,0.0007311630249020595
train,15.07,15.069822,0.00017768859863309672
train,14.97,14.97029,-0.00029018402099545426
train,14.85,14.851594,-0.0015939712524417615
train,14.94,14.940021,-2.056121826221613e-05
train,15.02,15.020289,-0.0002894210815433951
train,15.04,15.039505,0.0004949951171866473
train,15.01,15.010636,-0.0006363296508791194
train,15.12,15.1193695,0.0006304931640617184
train,15.05,15.050737,-0.000737380981444602
train,15.16,15.159405,0.0005952453613282671
train,15.21,15.210396,-0.00039581298828039735
train,15.26,15.258961,0.0010392761230466618
train,15.21,15.20992,8.00704956063214e-05
train,15.11,15.110794,-0.0007940673828130684
train,15.41,15.410658,-0.0006578826904295454
train,15.44,15.439371,0.0006288909912104401
train,15.51,15.510043,-4.314422607443191e-05
train,15.53,15.53034,-0.000340194702149077
train,16.06,16.059626,0.0003743743896471585
train,15.97,15.969959,4.074096679751449e-05
train,15.88,15.880472,-0.0004721832275382809
train,16.13,16.129667,0.00033271789550681774
train,16.04,16.040464,-0.00046440124511804015
train,16.2,16.199871,0.00012893676757741446
train,16.21,16.210117,-0.00011734008788977235
train,16.7,16.700003,-2.6702880866480427e-06
train,16.59,16.590368,-0.0003682708740235796
train,16.78,16.779594,0.00040557861328238687
train,16.97,16.970179,-0.00017860412597769937
train,16.97,16.969166,0.0008341979980457381
train,16.83,16.830534,-0.0005339813232438928
train,16.72,16.720102,-0.00010231018066519937
train,16.67,16.670181,-0.0001812744140607947
train,16.91,16.908598,0.0014020538330079546
train,16.79,16.790403,-0.00040336608886804015
train,16.68,16.68003,-3.082275390653422e-05
train,16.62,16.62044,-0.00043952941894431774
train,16.83,16.829521,0.0004788208007795447
train,16.59,16.590164,-0.0001641845703126421
train,16.77,16.77036,-0.0003609466552738638
train,16.83,16.829597,0.0004025268554670447
train,17.0,16.9997,0.0002994537353515625
train,16.99,16.990265,-0.0002648925781265632
train,16.99,16.98999,9.765624998436806e-06
train,16.98,16.980745,-0.0007453155517573862
train,17.11,17.109549,0.00045143127441349407
train,17.11,17.109838,0.00016151428222599407
train,17.23,17.229506,0.0004944610595707388
train,17.09,17.090668,-0.0006677246093751421
train,17.08,17.080004,-3.7384033220178026e-06
train,17.01,17.009953,4.7454833985938194e-05
train,17.27,17.269121,0.0008788299560542612
train,17.05,17.050413,-0.00041313171386647696
train,17.19,17.18977,0.00023025512695440398
train,17.5,17.499823,0.0001773834228515625
train,17.46,17.460218,-0.00021842956542883485
train,17.52,17.518333,0.0016665649414058237
train,17.23,17.230112,-0.00011207580566363617
train,17.24,17.240105,-0.0001046752929703132
train,17.07,17.0702,-0.00019996643066377828
train,17.1,17.09965,0.0003505706787123586
test,16.95,17.02829,-0.07828979492187571
test,16.85,17.00859,-0.15859069824218608
test,16.64,16.714476,-0.07447563171386662
test,16.37,16.689022,-0.3190220642089834
test,16.26,16.649858,-0.38985847473144375
test,16.42,16.619585,-0.1995850372314436
test,16.39,16.618748,-0.22874771118164006
test,16.37,16.64646,-0.27645957946777244
test,16.37,16.61939,-0.24939048767089744
test,16.25,16.619627,-0.3696269989013672
test,16.3,16.619923,-0.3199226379394524
test,16.14,16.216627,-0.07662712097167912
test,16.23,16.185183,0.044817428588867614
test,16.3,16.644917,-0.3449165344238274
test,16.1,16.621458,-0.5214580535888658
test,16.02,16.182716,-0.16271636962890668
test,15.94,16.170034,-0.23003440856933643
test,15.93,16.167372,-0.23737174987792997
test,16.07,16.179754,-0.10975425720214815
test,16.1,16.187374,-0.08737411499023295
