set_type,true,pred,residual
train,7.18,7.180122,-0.00012189865112333109
train,7.03,7.030274,-0.00027391433715795444
train,7.09,7.089422,0.0005777740478514204
train,7.06,7.0598507,0.0001493072509761717
train,6.98,6.9801097,-0.00010969161987262055
train,6.97,6.9705057,-0.0005057144165041549
train,6.94,6.940254,-0.0002542114257808592
train,6.93,6.9313903,-0.0013902854919436436
train,7.09,7.090088,-8.789062500014211e-05
train,7.11,7.1092267,0.0007732963562014916
train,7.03,7.0302444,-0.0002443504333493607
train,6.97,6.9706626,-0.0006625938415529831
train,7.03,7.0294976,0.0005023765563967331
train,7.0,7.000141,-0.000141143798828125
train,7.2,7.1996746,0.00032539367675799014
train,7.13,7.130788,-0.0007878494262696378
train,7.22,7.219651,0.00034877777099584506
train,7.32,7.3195095,0.0004904937744143467
train,7.34,7.3412786,-0.0012785530090333452
train,7.41,7.409827,0.00017276763916029836
train,7.38,7.3797073,0.0002926635742186434
train,7.38,7.3800797,-7.97462463379972e-05
train,7.3,7.301408,-0.0014078140258790839
train,7.42,7.4192967,0.0007032585144042258
train,7.43,7.43009,-8.995056152372172e-05
train,7.61,7.6103535,-0.00035346984863249276
train,7.79,7.79032,-0.0003199195861816051
train,7.82,7.8199215,7.850646972684672e-05
train,7.81,7.8101134,-0.00011343002319375017
train,8.05,8.049828,0.00017242431640696054
train,8.13,8.129666,0.00033367156982500035
train,8.21,8.209712,0.0002879714965828839
train,8.16,8.160107,-0.00010665893554673289
train,8.21,8.209857,0.0001430130004891339
train,8.11,8.110213,-0.00021327972412166218
train,8.15,8.1499815,1.850128173863652e-05
train,8.11,8.110055,-5.4969787598224684e-05
train,8.12,8.1199255,7.450103759687465e-05
train,8.07,8.070139,-0.00013893127441377828
train,7.94,7.9405637,-0.0005636787414546873
train,8.0,7.999801,0.00019884109497070312
train,8.3,8.299898,0.00010185241699289804
train,8.53,8.530159,-0.0001589965820318895
train,8.35,8.350019,-1.945495605504277e-05
train,8.56,8.559648,0.00035243988037159113
train,8.7,8.698708,0.0012924194335930395
train,8.65,8.650266,-0.000265693664550426
train,8.46,8.460538,-0.0005379104614249286
train,8.5,8.499591,0.00040912628173828125
train,8.4,8.400218,-0.00021800994873011348
train,8.59,8.589884,0.00011619567871079539
train,8.6,8.599549,0.0004507064819332385
train,8.6,8.5992155,0.000784492492675426
train,8.5,8.500267,-0.00026702880859375
train,8.5,8.50054,-0.0005397796630859375
train,8.5,8.499956,4.38690185546875e-05
train,8.85,8.848855,0.0011449813842769885
train,8.86,8.860587,-0.0005871200561529122
train,8.83,8.829722,0.0002775955200196023
train,8.91,8.9100065,-6.5231323240766415e-06
train,8.69,8.690539,-0.0005393600463872161
train,8.91,8.909168,0.0008317565917970171
train,9.04,9.040511,-0.0005111312866219464
train,9.05,9.050686,-0.0006858825683586645
train,9.28,9.279191,0.0008089828491204543
train,9.23,9.229806,0.00019405364990277008
train,9.27,9.2696705,0.0003295135498042612
train,9.27,9.270427,-0.0004267501831058951
train,9.29,9.290134,-0.00013442993164147765
train,9.31,9.309606,0.00039440155029346613
train,9.2,9.20064,-0.000639724731446023
train,9.25,9.250001,-9.5367431640625e-07
train,9.32,9.319129,0.0008710098266604405
train,9.3,9.300025,-2.4986267089133207e-05
train,9.24,9.240247,-0.0002467727661130681
train,9.26,9.260078,-7.843017578146316e-05
train,9.26,9.26004,-4.028320312521316e-05
train,9.33,9.328663,0.001337127685546946
test,9.26,9.238592,0.02140785217285135
test,9.26,9.213905,0.04609466552734354
test,9.3,9.226557,0.07344322204589915
test,9.33,9.288645,0.04135520935058601
test,9.42,9.258026,0.16197387695312493
test,9.53,9.2555485,0.2744515228271478
test,9.39,9.246698,0.143301620483399
test,9.47,9.258375,0.21162483215332095
test,9.4,9.258026,0.14197387695312536
test,9.43,9.247246,0.18275421142578097
test,9.61,9.28471,0.32529006958007756
test,9.7,9.285061,0.4149391174316399
test,9.74,9.285061,0.45493911743164084
test,9.88,9.28471,0.5952900695800789
test,9.84,9.28471,0.555290069580078
test,9.78,9.28471,0.4952900695800775
test,9.87,9.285061,0.5849391174316398
test,9.89,9.285061,0.6049391174316412
test,10.05,9.28471,0.7652900695800788
test,10.07,9.28471,0.7852900695800784
