set_type,true,pred,residual
train,8.35,8.35021,-0.00021018981933629277
train,8.5,8.499398,0.0006017684936523438
train,8.76,8.760486,-0.0004856491088869319
train,9.1,9.100119,-0.00011863708496129277
train,9.08,9.079809,0.00019081115722663355
train,8.9,8.900698,-0.0006977081298824572
train,9.0,8.998522,0.0014781951904296875
train,8.97,8.970185,-0.00018527984619076676
train,9.03,9.029736,0.0002644348144524855
train,9.15,9.1499605,3.948211669957402e-05
train,8.89,8.890678,-0.0006784057617181816
train,9.12,9.120007,-6.561279297656597e-06
train,8.95,8.950541,-0.000540542602539773
train,8.99,8.989085,0.0009148025512697444
train,8.99,8.990614,-0.0006139373779294743
train,9.14,9.139473,0.0005270385742193184
train,9.45,9.449366,0.000634384155272727
train,9.25,9.249908,9.1552734375e-05
train,8.99,8.990628,-0.0006282424926755681
train,9.04,9.040282,-0.0002822494506844464
train,9.13,9.129609,0.00039089202880937535
train,8.92,8.920483,-0.00048263549804694605
train,9.04,9.039804,0.00019554138183508485
train,8.96,8.959715,0.00028511047363366515
train,9.12,9.120171,-0.0001705932617195316
train,9.15,9.14951,0.000489616394043324
train,9.03,9.029762,0.0002377319335931105
train,8.85,8.850381,-0.0003808975219730115
train,9.02,9.019939,6.0577392577698674e-05
train,9.03,9.030109,-0.00010940551757876449
train,9.04,9.040077,-7.720947265710265e-05
train,9.15,9.148367,0.0016330718994144178
train,9.15,9.15008,-7.972717285120723e-05
train,9.32,9.320216,-0.00021617889404268453
train,9.14,9.139631,0.00036872863769588093
train,9.17,9.170617,-0.0006171035766602273
train,9.67,9.668642,0.0013579559326171164
train,9.33,9.330181,-0.00018112182617180395
train,9.26,9.25953,0.0004699325561521306
train,8.89,8.889843,0.00015701293945369343
train,8.93,8.929905,9.506225585909078e-05
train,9.04,9.040328,-0.0003280258178719464
train,8.9,8.900068,-6.828308105433223e-05
train,8.01,8.010847,-0.0008470916748049007
train,7.74,7.74053,-0.0005300140380857243
train,7.73,7.7297125,0.0002875137329105826
train,7.84,7.8401074,-0.00010744094848647023
train,7.81,7.8100777,-7.76672363285158e-05
train,7.88,7.8790693,0.0009306716918944247
train,7.83,7.830339,-0.0003389549255370383
train,7.76,7.7593393,0.0006606674194333806
train,7.75,7.7505794,-0.0005793571472167969
train,7.72,7.719735,0.00026485443115209506
train,7.75,7.750157,-0.00015687942504882812
train,8.05,8.049524,0.00047569274902414804
train,7.9,7.900138,-0.00013790130615198848
train,7.77,7.770168,-0.0001678276062015982
train,7.79,7.7897086,0.00029138565063480115
train,7.56,7.560578,-0.0005778694152835939
train,7.46,7.4613705,-0.001370468139648473
train,7.66,7.6598196,0.00018039703369154836
train,7.76,7.7598085,0.0001914596557615056
train,7.76,7.761104,-0.001104106903076385
train,7.86,7.8594813,0.0005186653137210229
train,7.82,7.820291,-0.00029104232788057516
train,7.97,7.969819,0.00018093109130834506
train,8.09,8.090203,-0.00020328521728529836
train,8.16,8.159866,0.0001336669921876421
train,7.91,7.9096084,0.00039163589477553273
train,7.9,7.9006267,-0.0006266593933101916
train,7.9,7.898989,0.0010107994079593396
train,7.9,7.900143,-0.00014314651489222285
train,7.87,7.870261,-0.00026119232177723717
train,7.74,7.740058,-5.794525146463059e-05
train,7.66,7.661473,-0.001472797393798686
train,7.68,7.6796303,0.0003697204589840908
train,7.63,7.629772,0.00022781372070301842
train,7.55,7.55021,-0.00020999908447283389
test,7.68,7.569183,0.11081712722778292
test,7.58,7.559145,0.02085502624511726
test,7.49,7.552165,-0.062165031433105256
test,7.55,7.5834436,-0.033443641662597834
test,7.52,7.5834436,-0.06344364166259808
test,7.5,7.5868664,-0.08686637878417969
test,7.6,7.5867534,0.013246631622314098
test,7.5,7.5833306,-0.08333063125610352
test,7.59,7.6840463,-0.09404626846313491
test,7.53,7.5867534,-0.0567533683776853
test,7.34,7.5927014,-0.25270143508911147
test,7.37,7.601757,-0.23175704956054677
test,7.36,7.586748,-0.226748123168945
test,7.3,7.586748,-0.2867481231689455
test,7.17,7.5828605,-0.4128604698181153
test,7.24,7.588277,-0.3482768630981443
test,7.29,7.5732365,-0.2832364654541015
test,7.4,7.5732365,-0.1732364654541012
test,7.43,7.581745,-0.1517451477050784
test,7.38,7.580202,-0.20020210266113292
