set_type,true,pred,residual
train,31.28,31.278625,0.0013745117187511369
train,30.02,30.019745,0.0002551269531245737
train,29.31,29.310358,-0.0003580474853528415
train,29.46,29.459526,0.00047393798828210265
train,29.4,29.400423,-0.0004230499267592336
train,29.43,29.429848,0.00015228271484346578
train,29.52,29.519518,0.0004821014404292612
train,30.18,30.17983,0.00016944885253877828
train,29.8,29.800074,-7.362365722585196e-05
train,29.15,29.149788,0.00021209716796732891
train,28.83,28.831087,-0.0010871124267595178
train,28.82,28.820095,-9.506225585909078e-05
train,28.92,28.919159,0.0008410644531267053
train,28.53,28.530342,-0.00034210205078011313
train,29.03,29.029518,0.00048187255859488687
train,28.33,28.330256,-0.0002555084228532678
train,28.22,28.220495,-0.0004952239990245744
train,28.61,28.609932,6.805419921818157e-05
train,28.81,28.809914,8.636474609247102e-05
train,29.18,29.179943,5.691528320284078e-05
train,29.54,29.54005,-5.050659179772765e-05
train,29.65,29.649529,0.0004714965820298289
train,29.58,29.580433,-0.0004328918457048303
train,29.51,29.510397,-0.0003969573974593743
train,30.06,30.059938,6.156921386590852e-05
train,30.16,30.15945,0.0005494689941407671
train,29.85,29.85046,-0.0004600524902329539
train,30.0,30.000322,-0.0003223419189453125
train,30.27,30.268232,0.0017676544189448862
train,31.0,30.99974,0.0002593994140625
train,30.75,30.749947,5.340576171875e-05
train,30.72,30.720135,-0.00013473510742301187
train,30.2,30.200232,-0.00023155212402414804
train,30.25,30.249872,0.0001277923583984375
train,29.98,29.98032,-0.0003199768066401987
train,29.45,29.449945,5.455017089772696e-05
train,28.83,28.830471,-0.0004710388183610803
train,28.77,28.770195,-0.00019500732421917633
train,29.05,29.050407,-0.00040740966796803946
train,29.1,29.099363,0.0006366729736342336
train,30.11,30.10995,5.0888061522869066e-05
train,29.46,29.460442,-0.00044158935546789735
train,29.59,29.589212,0.0007875823974607954
train,28.34,28.339815,0.0001848602294920454
train,28.86,28.859818,0.00018249511718693157
train,30.24,30.239449,0.0005514526367171868
train,30.42,30.419752,0.0002478790283220178
train,29.62,29.620436,-0.00043571472167869274
train,29.02,29.02061,-0.0006108093261723013
train,29.0,28.999743,0.0002574920654296875
train,29.13,29.129942,5.805969238181774e-05
train,30.08,30.080774,-0.0007743072509782678
train,30.0,29.99983,0.0001697540283203125
train,29.56,29.560135,-0.00013488769531377898
train,29.96,29.959387,0.0006131744384774152
train,29.65,29.650259,-0.0002590179443373586
train,30.0,29.99938,0.0006198883056640625
train,29.53,29.529783,0.00021675109863394937
train,28.64,28.641275,-0.001275405883788494
train,28.38,28.379791,0.00020874023437400524
train,28.02,28.021814,-0.0018143463134769888
train,28.39,28.389603,0.00039733886718806843
train,29.06,29.061022,-0.0010218048095715915
train,29.36,29.359034,0.0009664154052728691
train,29.48,29.479382,0.0006184387207035513
train,29.24,29.240177,-0.0001771545410171882
train,29.36,29.360136,-0.00013603210449275593
train,29.21,29.20992,7.911682128991515e-05
train,28.83,28.830954,-0.0009535980224626428
train,29.35,29.349043,0.0009571075439467336
train,29.36,29.360579,-0.0005785369873052559
train,29.07,29.06998,1.9378662109659217e-05
train,29.1,29.099491,0.0005088806152357961
train,28.6,28.600039,-3.8528442381391415e-05
train,28.42,28.421526,-0.0015259552001936072
train,28.5,28.498955,0.00104522705078125
train,28.34,28.3403,-0.0002996063232423296
train,28.43,28.429718,0.0002819824218747158
test,28.58,28.373896,0.20610435485839673
test,28.67,28.359003,0.31099693298340014
test,28.0,28.367756,-0.3677558898925781
test,28.46,28.42406,0.03593917846679773
test,28.09,28.295755,-0.2057553863525392
test,28.19,28.3757,-0.1856999969482409
test,28.24,28.41157,-0.17156959533691563
test,28.23,28.344002,-0.11400177001953082
test,28.38,28.41998,-0.03997909545898537
test,28.5,28.490734,0.009265899658203125
test,27.08,28.375448,-1.2954482269287126
test,26.57,28.336258,-1.7662579345703122
test,26.39,28.314295,-1.924294815063476
test,26.04,28.314295,-2.2742948150634774
test,25.82,28.45415,-2.63414924621582
test,25.94,28.45415,-2.514149246215819
test,25.77,28.415998,-2.645998458862305
test,26.13,28.415998,-2.2859984588623057
test,26.55,28.437294,-1.8872940063476555
test,26.55,28.477032,-1.9270317077636712
